location,month,year,ages,total,positive,xcoord,ycoord,prev,time_order_loc
mordor,8,2020,15_above,61,18,-19.93464,30.30268,0.295081967,32
mordor,3,2018,5_to_14,52,18,-20.88226,29.71932,0.346153846,3
mordor,5,2018,15_above,67,19,-20.70521,30.71227,0.28358209,5
mordor,8,2019,15_above,77,19,-20.37601,29.531,0.246753247,20
mordor,11,2019,15_above,80,19,-19.2462,30.2656,0.2375,23
mordor,7,2019,5_to_14,51,19,-20.29365,29.98395,0.37254902,19
mordor,3,2018,15_above,97,20,-20.10632,30.39031,0.206185567,3
mordor,2,2020,5_to_14,41,20,-19.61366,29.91944,0.487804878,26
mordor,10,2019,15_above,77,21,-20.46176,30.11568,0.272727273,22
mordor,4,2020,under_5,83,21,-19.89281,30.12248,0.253012048,28
mordor,8,2019,under_5,68,22,-20.04847,30.4764,0.323529412,20
mordor,4,2018,15_above,91,23,-19.9776,30.51174,0.252747253,4
mordor,2,2019,15_above,61,23,-19.58154,29.17431,0.37704918,14
mordor,5,2019,15_above,65,23,-19.36081,30.24293,0.353846154,17
mordor,8,2020,5_to_14,64,23,-19.54205,30.0344,0.359375,32
mordor,6,2018,15_above,107,25,-19.19154,30.45317,0.23364486,6
mordor,8,2018,15_above,93,25,-19.37011,29.65184,0.268817204,8
mordor,10,2018,5_to_14,60,25,-20.0499,29.84378,0.416666667,10
mordor,4,2018,under_5,96,26,-20.12717,29.94255,0.270833333,4
mordor,10,2018,15_above,110,27,-20.18546,30.15564,0.245454545,10
mordor,9,2019,15_above,86,29,-20.19562,29.59812,0.337209302,21
mordor,12,2018,5_to_14,71,29,-20.79656,30.28726,0.408450704,12
mordor,1,2018,15_above,122,30,-20.4934,30.16626,0.245901639,1
mordor,6,2018,under_5,116,30,-19.9292,29.41618,0.25862069,6
mordor,9,2018,15_above,84,31,-20.50343,29.71365,0.369047619,9
mordor,5,2018,under_5,117,31,-20.54037,29.63539,0.264957265,5
mordor,10,2020,under_5,94,32,-20.52253,29.88058,0.340425532,34
mordor,12,2018,15_above,166,38,-20.01169,30.36555,0.228915663,12
mordor,9,2020,under_5,111,38,-20.48973,30.31458,0.342342342,33
mordor,7,2020,under_5,113,39,-21.02004,30.09047,0.345132743,31
mordor,1,2020,under_5,159,40,-20.49524,30.63824,0.251572327,25
mordor,11,2018,5_to_14,96,41,-20.03635,29.85013,0.427083333,11
mordor,8,2020,under_5,123,43,-19.73551,30.36404,0.349593496,32
mordor,10,2019,under_5,149,47,-19.69747,29.95412,0.315436242,22
mordor,7,2019,under_5,135,48,-19.8164,30.33872,0.355555556,19
mordor,10,2020,5_to_14,115,49,-18.89279,29.45272,0.426086957,34
mordor,10,2018,under_5,141,50,-19.79234,29.4755,0.354609929,10
mordor,2,2018,under_5,177,51,-20.39432,29.91697,0.288135593,2
mordor,11,2018,15_above,146,52,-19.97918,28.51923,0.356164384,11
mordor,8,2018,under_5,151,52,-19.87846,29.13767,0.344370861,8
mordor,10,2020,15_above,159,53,-19.08751,29.56457,0.333333333,34
mordor,3,2020,under_5,144,54,-19.70655,30.52844,0.375,27
mordor,2,2018,15_above,168,57,-20.1268,30.29622,0.339285714,2
mordor,3,2018,under_5,163,60,-19.73644,31.2198,0.36809816,3
mordor,6,2019,under_5,163,62,-19.79448,30.83146,0.380368098,18
mordor,9,2019,under_5,162,63,-20.39861,29.0133,0.388888889,21
mordor,12,2019,under_5,165,67,-20.53618,30.22091,0.406060606,24
mordor,7,2018,under_5,210,72,-19.66388,30.2163,0.342857143,7
mordor,5,2019,under_5,167,72,-20.76451,28.89308,0.431137725,17
mordor,11,2020,under_5,198,74,-20.69592,30.35104,0.373737374,35
mordor,2,2020,under_5,193,75,-19.18547,30.47094,0.388601036,26
mordor,4,2019,under_5,178,76,-19.53985,30.1262,0.426966292,16
mordor,11,2019,under_5,189,76,-19.87065,30.50038,0.402116402,23
mordor,1,2019,under_5,196,82,-20.18504,30.53354,0.418367347,13
mordor,9,2018,under_5,201,83,-20.67545,29.93355,0.412935323,9
mordor,6,2020,under_5,206,87,-20.7925,30.25377,0.422330097,30
mordor,2,2019,under_5,206,93,-20.29661,29.87087,0.451456311,14
mordor,1,2018,under_5,271,99,-20.36743,31.02212,0.365313653,1
mordor,3,2019,under_5,501,216,-20.55559,30.04479,0.431137725,15
mordor,12,2018,under_5,467,221,-20.54007,29.5232,0.473233405,12
mordor,11,2018,under_5,611,264,-20.23859,30.38382,0.43207856,11
narnia,4,2020,15_above,25,2,-20.33328,29.48329,0.08,28
narnia,6,2020,15_above,34,3,-20.83471,30.00529,0.088235294,30
narnia,3,2020,5_to_14,20,3,-19.12446,30.19492,0.15,27
narnia,5,2018,5_to_14,29,4,-20.2669,29.92452,0.137931034,5
narnia,4,2020,5_to_14,21,5,-20.15228,30.27887,0.238095238,28
narnia,6,2018,5_to_14,30,6,-20.16024,29.15535,0.2,6
narnia,12,2018,5_to_14,35,6,-19.66949,30.40705,0.171428571,12
narnia,11,2020,5_to_14,39,6,-20.65147,29.90034,0.153846154,35
narnia,5,2020,15_above,46,7,-19.60955,29.422,0.152173913,29
narnia,9,2018,5_to_14,41,7,-20.42961,30.39615,0.170731707,9
narnia,4,2020,under_5,47,7,-19.37046,29.30687,0.14893617,27
narnia,2,2019,15_above,37,8,-19.44475,29.67587,0.216216216,14
narnia,3,2019,5_to_14,33,8,-20.0512,29.73178,0.242424242,15
narnia,10,2020,15_above,50,9,-19.36914,30.07156,0.18,34
narnia,11,2020,15_above,41,9,-20.10262,30.13692,0.219512195,35
narnia,5,2020,5_to_14,34,9,-19.3496,29.94355,0.264705882,29
narnia,9,2020,5_to_14,25,9,-20.03795,29.8825,0.36,33
narnia,10,2020,5_to_14,31,9,-19.80236,29.91117,0.290322581,34
narnia,2,2019,5_to_14,28,10,-20.107,29.854,0.357142857,14
narnia,2,2020,5_to_14,39,10,-19.9287,30.14809,0.256410256,26
narnia,9,2020,15_above,26,11,-20.19866,30.56608,0.423076923,33
narnia,4,2018,5_to_14,41,11,-20.65504,30.04293,0.268292683,4
narnia,8,2020,5_to_14,35,11,-20.99652,30.16769,0.314285714,32
narnia,4,2019,under_5,37,11,-19.01006,30.16247,0.297297297,16
narnia,1,2020,15_above,46,12,-19.8202,30.67185,0.260869565,25
narnia,3,2020,15_above,42,12,-20.09464,29.60147,0.285714286,27
narnia,1,2018,5_to_14,38,12,-19.21031,30.50792,0.315789474,1
narnia,1,2019,5_to_14,36,12,-20.03478,30.68628,0.333333333,13
narnia,12,2019,5_to_14,35,12,-19.32997,29.72909,0.342857143,24
narnia,6,2020,5_to_14,38,12,-19.84176,29.39027,0.315789474,30
narnia,2,2020,15_above,51,13,-19.55502,30.03409,0.254901961,26
narnia,11,2018,5_to_14,40,13,-20.32461,29.2386,0.325,11
narnia,4,2019,5_to_14,35,13,-20.63837,30.03498,0.371428571,16
narnia,5,2019,5_to_14,34,13,-20.02592,29.62577,0.382352941,17
narnia,8,2020,15_above,29,14,-20.67397,30.63708,0.482758621,32
narnia,2,2018,5_to_14,40,14,-20.34965,30.10333,0.35,2
narnia,3,2018,5_to_14,45,14,-20.2205,30.13484,0.311111111,3
narnia,1,2020,5_to_14,38,14,-19.40926,28.60601,0.368421053,25
narnia,7,2020,5_to_14,42,14,-20.63889,29.76897,0.333333333,31
narnia,5,2020,under_5,52,14,-20.5262,31.09843,0.269230769,28
narnia,7,2018,5_to_14,50,15,-20.11489,29.55132,0.3,7
narnia,8,2018,5_to_14,46,15,-19.84169,30.04036,0.326086957,8
narnia,11,2019,5_to_14,43,15,-20.33399,29.29914,0.348837209,23
narnia,4,2019,15_above,50,16,-21.30196,30.79617,0.32,16
narnia,6,2019,5_to_14,53,16,-20.7073,30.394,0.301886792,18
narnia,8,2019,5_to_14,53,16,-19.97955,30.01856,0.301886792,20
narnia,12,2019,15_above,50,17,-19.75737,30.68951,0.34,24
narnia,10,2018,5_to_14,45,17,-19.19572,30.38427,0.377777778,10
narnia,7,2020,15_above,68,18,-19.47045,29.6617,0.264705882,31
narnia,3,2019,15_above,56,19,-19.8768,30.11674,0.339285714,15
narnia,6,2019,15_above,62,20,-19.6469,29.52066,0.322580645,18
narnia,10,2019,15_above,56,20,-19.57068,29.76882,0.357142857,22
narnia,3,2020,under_5,87,20,-20.73423,29.71213,0.229885057,26
narnia,10,2020,under_5,88,20,-20.52574,29.97606,0.227272727,33
narnia,5,2019,15_above,56,21,-20.11759,29.94406,0.375,17
narnia,11,2019,15_above,91,21,-21.05664,29.25928,0.230769231,23
narnia,9,2019,5_to_14,43,21,-19.43951,28.85873,0.488372093,21
narnia,5,2018,under_5,65,21,-20.32622,29.51461,0.323076923,5
narnia,5,2018,15_above,74,22,-20.55969,29.75689,0.297297297,5
narnia,10,2019,5_to_14,60,22,-18.88741,30.85361,0.366666667,22
narnia,2,2018,15_above,71,23,-20.29205,29.52304,0.323943662,2
narnia,12,2018,15_above,58,23,-20.1457,30.11978,0.396551724,12
narnia,1,2019,under_5,66,23,-20.76235,30.61135,0.348484848,13
narnia,1,2018,15_above,87,24,-20.20592,29.84474,0.275862069,1
narnia,6,2018,15_above,66,25,-20.44727,31.21759,0.378787879,6
narnia,8,2018,15_above,68,25,-20.09499,29.66292,0.367647059,8
narnia,7,2019,15_above,67,25,-20.01049,29.6079,0.373134328,19
narnia,2,2019,under_5,67,26,-20.12983,29.76764,0.388059701,14
narnia,1,2019,15_above,72,27,-20.47214,29.44332,0.375,13
narnia,7,2019,5_to_14,72,27,-20.66129,30.06535,0.375,19
narnia,2,2018,under_5,76,28,-20.51346,30.46008,0.368421053,2
narnia,4,2018,15_above,89,29,-20.16116,29.73141,0.325842697,4
narnia,7,2018,15_above,88,30,-19.6885,30.96426,0.340909091,7
narnia,8,2018,under_5,85,30,-19.56723,30.10684,0.352941176,8
narnia,6,2020,under_5,93,30,-20.82955,30.70134,0.322580645,29
narnia,5,2019,under_5,73,31,-19.94284,30.67893,0.424657534,17
narnia,12,2019,under_5,82,32,-20.17479,29.88803,0.390243902,24
narnia,8,2019,15_above,86,33,-20.94527,30.04669,0.38372093,20
narnia,9,2019,15_above,87,34,-20.4677,29.789,0.390804598,21
narnia,6,2018,under_5,91,34,-20.34493,29.99937,0.373626374,6
narnia,7,2020,under_5,116,34,-20.846,29.97068,0.293103448,30
narnia,3,2018,15_above,91,35,-19.58555,30.27018,0.384615385,3
narnia,1,2018,under_5,92,35,-20.27538,29.94408,0.380434783,1
narnia,10,2018,15_above,98,36,-19.69709,29.96496,0.367346939,10
narnia,3,2019,under_5,90,36,-20.01291,29.75666,0.4,15
narnia,10,2019,under_5,96,37,-19.17469,29.85303,0.385416667,22
narnia,4,2018,under_5,107,39,-20.70471,29.41166,0.364485981,4
narnia,11,2018,15_above,103,40,-20.26038,31.17761,0.388349515,11
narnia,9,2020,under_5,95,40,-19.98861,30.3953,0.421052632,32
narnia,8,2019,under_5,100,42,-19.52529,29.49136,0.42,20
narnia,2,2020,under_5,140,43,-19.87853,29.81691,0.307142857,25
narnia,9,2018,15_above,106,44,-18.84686,29.35978,0.41509434,9
narnia,7,2019,under_5,105,45,-20.41091,29.36083,0.428571429,19
narnia,8,2020,under_5,138,45,-19.86071,30.2742,0.326086957,31
narnia,9,2019,under_5,112,47,-20.21904,29.90074,0.419642857,21
narnia,9,2018,under_5,113,48,-20.22584,29.97392,0.424778761,9
narnia,7,2018,under_5,119,50,-20.54062,30.50843,0.420168067,7
narnia,6,2019,under_5,120,51,-19.91802,30.75794,0.425,18
narnia,10,2018,under_5,118,53,-19.4879,29.66793,0.449152542,10
narnia,12,2018,under_5,132,57,-20.59892,29.5962,0.431818182,12
narnia,11,2018,under_5,142,59,-20.56374,30.02807,0.415492958,11
narnia,3,2018,under_5,148,62,-20.51299,30.3686,0.418918919,3
narnia,11,2019,under_5,155,66,-20.40192,30.35437,0.425806452,23
narnia,11,2020,under_5,210,77,-21.04511,30.7815,0.366666667,34
neverwhere,2,2019,15_above,22,1,-20.76628,29.60179,-0.045454545,14
neverwhere,3,2018,under_5,25,0,-19.77529,30.23588,0,3
neverwhere,1,2018,5_to_14,22,1,-20.73731,29.12269,0.045454545,1
neverwhere,7,2020,5_to_14,25,1,-20.05475,29.77881,0.04,32
neverwhere,5,2019,under_5,27,1,-18.9305,30.90879,0.037037037,17
neverwhere,6,2019,under_5,26,1,-20.47133,30.67757,0.038461538,19
neverwhere,3,2019,15_above,25,2,-20.55314,29.52749,0.08,15
neverwhere,8,2018,5_to_14,23,3,-20.17641,29.24668,0.130434783,8
neverwhere,5,2019,5_to_14,24,3,-19.70974,30.29357,0.125,17
neverwhere,8,2019,5_to_14,24,3,-19.87692,30.53017,0.125,23
neverwhere,1,2019,under_5,25,3,-20.16028,29.37718,0.12,13
neverwhere,4,2019,under_5,27,3,-20.1559,29.60067,0.111111111,16
neverwhere,3,2019,5_to_14,29,4,-20.64866,29.38046,0.137931034,15
neverwhere,3,2019,under_5,24,4,-20.3089,29.89732,0.166666667,15
neverwhere,6,2019,under_5,24,4,-20.60982,30.74533,0.166666667,18
neverwhere,7,2019,under_5,26,4,-20.70445,28.64249,0.153846154,21
neverwhere,9,2018,15_above,24,5,-20.36523,29.50095,0.208333333,9
neverwhere,12,2018,15_above,29,5,-19.77158,29.35845,0.172413793,12
neverwhere,1,2019,15_above,25,5,-19.06287,30.02674,0.2,13
neverwhere,4,2019,15_above,26,5,-19.26131,29.92897,0.192307692,16
neverwhere,9,2018,5_to_14,22,5,-20.30834,30.17473,0.227272727,9
neverwhere,4,2019,5_to_14,26,5,-19.30438,28.94306,0.192307692,16
neverwhere,6,2019,5_to_14,27,5,-19.7476,29.99398,0.185185185,18
neverwhere,8,2019,5_to_14,24,5,-20.91516,29.62142,0.208333333,22
neverwhere,9,2019,5_to_14,29,5,-19.70967,29.92457,0.172413793,25
neverwhere,2,2018,under_5,24,5,-20.09793,30.30898,0.208333333,2
neverwhere,9,2018,under_5,24,5,-20.4658,30.31386,0.208333333,9
neverwhere,7,2019,under_5,25,5,-20.03894,29.12938,0.2,20
neverwhere,9,2019,under_5,25,5,-19.94905,29.31541,0.2,24
neverwhere,9,2019,under_5,22,5,-19.42412,29.18136,0.227272727,25
neverwhere,10,2019,under_5,26,5,-20.05003,30.21592,0.192307692,26
neverwhere,1,2018,15_above,24,6,-19.46475,29.79635,0.25,1
neverwhere,3,2018,15_above,23,6,-20.17565,31.01435,0.260869565,3
neverwhere,8,2018,15_above,24,6,-19.90634,29.91071,0.25,8
neverwhere,2,2018,5_to_14,24,6,-20.66838,30.19822,0.25,2
neverwhere,3,2018,5_to_14,25,6,-19.43708,29.95046,0.24,3
neverwhere,1,2019,5_to_14,24,6,-20.53807,30.2013,0.25,13
neverwhere,2,2019,5_to_14,26,6,-19.62371,29.76084,0.230769231,14
neverwhere,7,2019,5_to_14,23,6,-20.37042,29.76183,0.260869565,21
neverwhere,10,2019,5_to_14,21,6,-19.45196,29.18729,0.285714286,26
neverwhere,1,2018,under_5,23,6,-19.75685,30.06162,0.260869565,1
neverwhere,12,2018,under_5,26,6,-19.51493,30.27581,0.230769231,12
neverwhere,2,2018,15_above,25,7,-19.96634,29.37501,0.28,2
neverwhere,7,2019,5_to_14,27,7,-18.79006,29.2813,0.259259259,20
neverwhere,8,2018,under_5,23,7,-20.5481,30.12128,0.304347826,8
neverwhere,8,2019,under_5,25,7,-19.8213,29.72101,0.28,23
neverwhere,10,2019,under_5,23,7,-19.56565,30.66184,0.304347826,27
neverwhere,6,2019,5_to_14,27,8,-19.3093,30.23974,0.296296296,19
neverwhere,9,2019,5_to_14,26,8,-19.72627,30.10387,0.307692308,24
neverwhere,10,2019,5_to_14,28,8,-19.3561,30.10694,0.285714286,27
neverwhere,2,2019,under_5,27,8,-20.95186,30.39602,0.296296296,14
neverwhere,12,2018,5_to_14,22,9,-20.76731,29.70791,0.409090909,12
neverwhere,8,2019,under_5,25,9,-19.61107,30.03741,0.36,22
neverwhere,7,2020,under_5,22,9,-20.79493,29.67868,0.409090909,32
neverwhere,5,2019,15_above,28,10,-19.86737,28.83811,0.357142857,17
neverwhere,6,2018,5_to_14,38,12,-19.60744,29.97363,0.315789474,6
neverwhere,4,2018,5_to_14,61,18,-20.01745,29.85421,0.295081967,4
neverwhere,5,2018,5_to_14,71,24,-19.66813,29.29412,0.338028169,5
neverwhere,6,2019,15_above,74,27,-19.2072,29.16917,0.364864865,19
neverwhere,11,2019,5_to_14,78,30,-20.19659,29.85089,0.384615385,29
neverwhere,6,2019,15_above,70,31,-19.38935,29.40544,0.442857143,18
neverwhere,7,2019,15_above,88,33,-19.88765,30.08045,0.375,21
neverwhere,7,2019,15_above,86,39,-20.41527,30.4393,0.453488372,20
neverwhere,8,2019,15_above,96,40,-19.76723,30.41142,0.416666667,23
neverwhere,7,2018,under_5,114,40,-19.77599,29.39426,0.350877193,7
neverwhere,8,2019,15_above,92,41,-20.41039,30.23244,0.445652174,22
neverwhere,12,2019,15_above,109,44,-20.3257,30.57383,0.403669725,31
neverwhere,11,2019,5_to_14,97,47,-20.21939,29.58914,0.484536082,28
neverwhere,11,2019,15_above,112,49,-19.67484,30.11595,0.4375,28
neverwhere,12,2019,15_above,113,49,-19.76074,30.38877,0.433628319,30
neverwhere,4,2018,under_5,131,49,-20.23385,30.43131,0.374045802,4
neverwhere,11,2019,15_above,113,50,-19.80258,29.96897,0.442477876,29
neverwhere,9,2019,15_above,116,51,-20.21579,30.1826,0.439655172,24
neverwhere,9,2019,15_above,117,56,-20.08559,29.79054,0.478632479,25
neverwhere,12,2019,5_to_14,131,57,-20.62963,30.147,0.435114504,31
neverwhere,12,2019,5_to_14,128,58,-19.84417,30.09876,0.453125,30
neverwhere,7,2018,5_to_14,135,59,-19.43151,30.22419,0.437037037,7
neverwhere,6,2018,15_above,159,61,-20.10937,29.6071,0.383647799,6
neverwhere,7,2020,15_above,129,61,-19.77927,30.37121,0.472868217,32
neverwhere,7,2018,15_above,160,72,-19.51969,30.26961,0.45,7
neverwhere,5,2018,15_above,182,73,-20.32924,29.75387,0.401098901,5
neverwhere,11,2018,under_5,177,76,-19.84893,29.97178,0.429378531,11
neverwhere,10,2019,15_above,165,79,-20.79756,29.41076,0.478787879,26
neverwhere,10,2019,15_above,168,80,-19.3329,29.59897,0.476190476,27
neverwhere,11,2018,5_to_14,200,85,-20.83352,30.19539,0.425,11
neverwhere,11,2018,15_above,237,90,-20.69244,30.18585,0.379746835,11
neverwhere,5,2018,under_5,228,90,-20.12159,29.6599,0.394736842,5
neverwhere,10,2018,5_to_14,206,91,-19.74446,29.75528,0.441747573,10
neverwhere,11,2019,under_5,204,91,-20.01036,29.69527,0.446078431,29
neverwhere,11,2019,under_5,209,93,-19.94827,29.8476,0.444976077,28
neverwhere,4,2018,15_above,264,103,-20.82454,31.29262,0.390151515,4
neverwhere,10,2018,15_above,362,132,-19.23547,29.86867,0.364640884,10
neverwhere,6,2018,under_5,364,137,-20.48387,29.79453,0.376373626,6
neverwhere,12,2019,under_5,296,140,-19.86621,30.8039,0.472972973,30
neverwhere,12,2019,under_5,292,142,-20.54173,29.44843,0.48630137,31
neverwhere,10,2018,under_5,509,227,-20.09222,29.79023,0.445972495,10
oz,11,2018,under_5,28,2,-19.90764,29.64892,0.071428571,10
oz,10,2018,under_5,28,3,-19.77286,30.74985,0.107142857,9
oz,12,2018,under_5,25,5,-21.83882,29.31279,0.2,11
oz,4,2019,15_above,84,8,-19.65473,29.6569,0.095238095,16
oz,4,2019,5_to_14,44,10,-20.45596,30.37445,0.227272727,16
oz,2,2018,5_to_14,63,11,-20.0325,30.13471,0.174603175,2
oz,1,2019,under_5,106,12,-19.72563,29.86075,0.113207547,12
oz,3,2018,5_to_14,52,13,-20.94677,29.16102,0.25,3
oz,4,2018,5_to_14,57,13,-19.96913,29.53605,0.228070175,4
oz,1,2019,5_to_14,73,14,-20.20392,30.04503,0.191780822,13
oz,1,2018,5_to_14,65,16,-19.6908,30.16878,0.246153846,1
oz,3,2019,5_to_14,60,16,-19.22404,30.1387,0.266666667,15
oz,2,2019,5_to_14,83,17,-20.65958,30.01507,0.204819277,14
oz,5,2019,5_to_14,118,20,-20.01743,29.95319,0.169491525,17
oz,4,2019,under_5,219,21,-19.75562,29.46195,0.095890411,15
oz,5,2018,5_to_14,92,23,-19.74735,30.98185,0.25,5
oz,6,2018,15_above,166,26,-20.25337,29.8489,0.156626506,6
oz,3,2018,15_above,183,28,-19.37294,30.34707,0.153005464,3
oz,4,2020,5_to_14,141,28,-19.63817,29.81229,0.19858156,28
oz,6,2019,5_to_14,134,29,-20.33454,29.58161,0.21641791,18
oz,6,2019,under_5,337,29,-20.20553,30.32118,0.086053412,17
oz,3,2019,under_5,218,30,-20.15308,30.28057,0.137614679,14
oz,5,2019,under_5,205,30,-19.22241,31.12032,0.146341463,16
oz,6,2018,5_to_14,103,31,-19.51158,29.45423,0.300970874,6
oz,1,2020,5_to_14,101,31,-19.28759,29.57152,0.306930693,25
oz,5,2020,5_to_14,88,31,-19.33746,29.25735,0.352272727,29
oz,3,2018,under_5,213,31,-20.21434,30.806,0.145539906,3
oz,2,2018,under_5,158,32,-19.49148,29.76294,0.202531646,2
oz,6,2020,5_to_14,154,34,-20.07316,30.47051,0.220779221,30
oz,2,2019,under_5,216,34,-20.51597,29.55874,0.157407407,13
oz,2,2018,15_above,199,35,-20.31295,30.00899,0.175879397,2
oz,2,2019,15_above,218,35,-19.35158,29.57009,0.160550459,14
oz,1,2018,15_above,198,38,-21.1069,29.99524,0.191919192,1
oz,1,2019,15_above,239,38,-20.37455,30.09095,0.158995816,13
oz,6,2020,under_5,340,38,-20.16476,30.85283,0.111764706,29
oz,3,2019,15_above,169,39,-20.03628,29.49611,0.230769231,15
oz,5,2019,15_above,219,40,-20.51439,30.68502,0.182648402,17
oz,5,2018,under_5,230,40,-21.048,30.33756,0.173913043,4
oz,6,2019,15_above,345,41,-20.75348,29.06913,0.11884058,18
oz,12,2018,5_to_14,103,41,-20.2717,29.86412,0.398058252,12
oz,2,2020,5_to_14,226,42,-19.84025,29.58255,0.185840708,26
oz,4,2018,15_above,218,43,-20.00379,29.62842,0.197247706,4
oz,6,2018,under_5,204,43,-20.08501,30.61131,0.210784314,5
oz,4,2020,under_5,198,43,-19.76244,29.92412,0.217171717,27
oz,5,2018,15_above,171,44,-19.55192,30.04501,0.257309942,5
oz,12,2018,15_above,208,46,-19.89802,29.46143,0.221153846,12
oz,1,2020,under_5,166,46,-20.72571,30.57441,0.277108434,24
oz,10,2020,under_5,300,51,-20.02184,29.80039,0.17,33
oz,11,2020,under_5,233,52,-20.37318,29.43193,0.223175966,34
oz,1,2020,15_above,261,55,-20.51465,29.16629,0.210727969,25
oz,5,2020,15_above,311,56,-20.21805,29.96696,0.180064309,29
oz,12,2019,5_to_14,146,57,-20.5421,29.93629,0.390410959,24
oz,1,2018,under_5,233,57,-19.1209,30.72585,0.244635193,1
oz,9,2020,under_5,234,57,-20.38333,30.63935,0.243589744,32
oz,11,2020,5_to_14,166,58,-20.23899,30.04999,0.34939759,35
oz,3,2020,5_to_14,217,61,-19.55278,30.962,0.281105991,27
oz,5,2020,under_5,288,62,-19.90403,29.89302,0.215277778,28
oz,7,2018,under_5,272,64,-20.72949,30.66531,0.235294118,6
oz,8,2020,under_5,217,66,-19.50459,29.57136,0.304147465,31
oz,12,2019,15_above,260,67,-20.44802,31.29022,0.257692308,24
oz,2,2020,under_5,207,67,-20.17377,29.98108,0.323671498,25
oz,8,2018,under_5,296,68,-20.57828,29.98316,0.22972973,8
oz,7,2018,15_above,255,70,-20.44551,29.75055,0.274509804,7
oz,9,2020,5_to_14,178,70,-20.42779,31.80786,0.393258427,33
oz,7,2020,under_5,326,70,-20.19947,30.3261,0.214723926,30
oz,11,2018,15_above,309,73,-19.34859,29.63644,0.236245955,11
oz,11,2020,15_above,452,73,-20.00399,30.40551,0.161504425,35
oz,10,2020,5_to_14,295,76,-20.07087,29.49515,0.257627119,34
oz,12,2019,under_5,275,76,-19.27302,29.53767,0.276363636,23
oz,6,2020,15_above,346,78,-19.70186,30.69087,0.225433526,30
oz,4,2020,15_above,262,79,-20.65945,30.24655,0.301526718,28
oz,11,2018,5_to_14,212,81,-20.15667,30.56459,0.382075472,11
oz,3,2020,under_5,329,82,-18.96422,29.86277,0.249240122,26
oz,10,2018,15_above,297,83,-19.74099,30.70596,0.279461279,10
